movie_id,movie_id_orig
6041,1
6042,2
6043,3
6044,4
6045,5
6046,6
6047,7
6048,8
6049,9
6050,10
6051,11
6052,12
6053,13
6054,14
6055,15
6056,16
6057,17
6058,18
6059,19
6060,20
6061,21
6062,22
6063,23
6064,24
6065,25
6066,26
6067,27
6068,28
6069,29
6070,30
6071,31
6072,32
6073,33
6074,34
6075,35
6076,36
6077,37
6078,38
6079,39
6080,40
6081,41
6082,42
6083,43
6084,44
6085,45
6086,46
6087,47
6088,48
6089,49
6090,50
6091,51
6092,52
6093,53
6094,54
6095,55
6096,56
6097,57
6098,58
6099,59
6100,60
6101,61
6102,62
6103,63
6104,64
6105,65
6106,66
6107,67
6108,68
6109,69
6110,70
6111,71
6112,72
6113,73
6114,74
6115,75
6116,76
6117,77
6118,78
6119,79
6120,80
6121,81
6122,82
6123,83
6124,84
6125,85
6126,86
6127,87
6128,88
6129,89
6130,90
6131,92
6132,93
6133,94
6134,95
6135,96
6136,97
6137,98
6138,99
6139,100
6140,101
6141,102
6142,103
6143,104
6144,105
6145,106
6146,107
6147,108
6148,109
6149,110
6150,111
6151,112
6152,113
6153,114
6154,115
6155,116
6156,117
6157,118
6158,119
6159,120
6160,121
6161,122
6162,123
6163,124
6164,125
6165,126
6166,127
6167,128
6168,129
6169,130
6170,131
6171,132
6172,133
6173,134
6174,135
6175,136
6176,137
6177,138
6178,139
6179,140
6180,141
6181,142
6182,143
6183,144
6184,145
6185,146
6186,147
6187,148
6188,149
6189,150
6190,151
6191,152
6192,153
6193,154
6194,155
6195,156
6196,157
6197,158
6198,159
6199,160
6200,161
6201,162
6202,163
6203,164
6204,165
6205,166
6206,167
6207,168
6208,169
6209,170
6210,171
6211,172
6212,173
6213,174
6214,175
6215,176
6216,177
6217,178
6218,179
6219,180
6220,181
6221,182
6222,183
6223,184
6224,185
6225,186
6226,187
6227,188
6228,189
6229,190
6230,191
6231,192
6232,193
6233,194
6234,195
6235,196
6236,197
6237,198
6238,199
6239,200
6240,201
6241,202
6242,203
6243,204
6244,205
6245,206
6246,207
6247,208
6248,209
6249,210
6250,211
6251,212
6252,213
6253,214
6254,215
6255,216
6256,217
6257,218
6258,219
6259,220
6260,222
6261,223
6262,224
6263,225
6264,226
6265,227
6266,228
6267,229
6268,230
6269,231
6270,232
6271,233
6272,234
6273,235
6274,236
6275,237
6276,238
6277,239
6278,240
6279,241
6280,242
6281,243
6282,244
6283,245
6284,246
6285,247
6286,248
6287,249
6288,250
6289,251
6290,252
6291,253
6292,254
6293,255
6294,256
6295,257
6296,258
6297,259
6298,260
6299,261
6300,262
6301,263
6302,264
6303,265
6304,266
6305,267
6306,268
6307,269
6308,270
6309,271
6310,272
6311,273
6312,274
6313,275
6314,276
6315,277
6316,278
6317,279
6318,280
6319,281
6320,282
6321,283
6322,284
6323,285
6324,286
6325,287
6326,288
6327,289
6328,290
6329,291
6330,292
6331,293
6332,294
6333,295
6334,296
6335,297
6336,298
6337,299
6338,300
6339,301
6340,302
6341,303
6342,304
6343,305
6344,306
6345,307
6346,308
6347,309
6348,310
6349,311
6350,312
6351,313
6352,314
6353,315
6354,316
6355,317
6356,318
6357,319
6358,320
6359,321
6360,322
6361,324
6362,325
6363,326
6364,327
6365,328
6366,329
6367,330
6368,331
6369,332
6370,333
6371,334
6372,335
6373,336
6374,337
6375,338
6376,339
6377,340
6378,341
6379,342
6380,343
6381,344
6382,345
6383,346
6384,347
6385,348
6386,349
6387,350
6388,351
6389,352
6390,353
6391,354
6392,355
6393,356
6394,357
6395,358
6396,359
6397,360
6398,361
6399,362
6400,363
6401,364
6402,365
6403,366
6404,367
6405,368
6406,369
6407,370
6408,371
6409,372
6410,373
6411,374
6412,375
6413,376
6414,377
6415,378
6416,379
6417,380
6418,381
6419,382
6420,383
6421,384
6422,385
6423,386
6424,387
6425,388
6426,389
6427,390
6428,391
6429,392
6430,393
6431,394
6432,395
6433,396
6434,397
6435,398
6436,399
6437,400
6438,401
6439,402
6440,403
6441,404
6442,405
6443,406
6444,407
6445,408
6446,409
6447,410
6448,411
6449,412
6450,413
6451,414
6452,415
6453,416
6454,417
6455,418
6456,419
6457,420
6458,421
6459,422
6460,423
6461,424
6462,425
6463,426
6464,427
6465,428
6466,429
6467,430
6468,431
6469,432
6470,433
6471,434
6472,435
6473,436
6474,437
6475,438
6476,439
6477,440
6478,441
6479,442
6480,443
6481,444
6482,445
6483,446
6484,447
6485,448
6486,449
6487,450
6488,451
6489,452
6490,453
6491,454
6492,455
6493,456
6494,457
6495,458
6496,459
6497,460
6498,461
6499,462
6500,463
6501,464
6502,465
6503,466
6504,467
6505,468
6506,469
6507,470
6508,471
6509,472
6510,473
6511,474
6512,475
6513,476
6514,477
6515,478
6516,479
6517,480
6518,481
